
# Image: frame_00116.jpg
0.999948 -0.010005 -0.001804
0.010045 0.999669 0.023670
0.001567 -0.023686 0.999718

# Image: frame_00115.jpg
0.999956 -0.009196 -0.001737
0.009234 0.999691 0.023059
0.001524 -0.023074 0.999733

# Image: frame_00126.jpg
0.999917 -0.011503 -0.005792
0.011601 0.999785 0.017171
0.005594 -0.017236 0.999836

# Image: frame_00127.jpg
0.999917 -0.011371 -0.006102
0.011471 0.999794 0.016725
0.005911 -0.016794 0.999841

# Image: frame_00128.jpg
0.999923 -0.010717 -0.006214
0.010816 0.999813 0.016022
0.006041 -0.016088 0.999852

# Image: frame_00123.jpg
0.999920 -0.012034 -0.003891
0.012108 0.999734 0.019654
0.003654 -0.019700 0.999799

# Image: frame_00129.jpg
0.999926 -0.010518 -0.006178
0.010610 0.999829 0.015145
0.006018 -0.015209 0.999866

# Image: frame_00131.jpg
0.999925 -0.010296 -0.006608
0.010388 0.999848 0.014019
0.006463 -0.014087 0.999880

# Image: frame_00130.jpg
0.999926 -0.010427 -0.006265
0.010518 0.999836 0.014754
0.006110 -0.014819 0.999872

# Image: frame_00132.jpg
0.999926 -0.010201 -0.006583
0.010289 0.999856 0.013529
0.006444 -0.013596 0.999887

# Image: frame_00124.jpg
0.999921 -0.011770 -0.004409
0.011851 0.999751 0.018926
0.004186 -0.018976 0.999811

# Image: frame_00133.jpg
0.999929 -0.009855 -0.006742
0.009942 0.999865 0.013063
0.006612 -0.013129 0.999892

# Image: frame_00135.jpg
0.999933 -0.009092 -0.007223
0.009180 0.999883 0.012200
0.007111 -0.012265 0.999899

# Image: frame_00125.jpg
0.999920 -0.011495 -0.005236
0.011588 0.999769 0.018078
0.005027 -0.018137 0.999823

# Image: frame_00136.jpg
0.999932 -0.009218 -0.007135
0.009305 0.999881 0.012315
0.007021 -0.012381 0.999899

# Image: frame_00134.jpg
0.999928 -0.009721 -0.006986
0.009808 0.999874 0.012490
0.006864 -0.012558 0.999898

# Image: frame_00137.jpg
0.999928 -0.009313 -0.007525
0.009407 0.999877 0.012568
0.007407 -0.012638 0.999893

# Image: frame_00139.jpg
0.999915 -0.009528 -0.008932
0.009645 0.999867 0.013114
0.008806 -0.013199 0.999874

# Image: frame_00140.jpg
0.999909 -0.009411 -0.009691
0.009545 0.999858 0.013912
0.009559 -0.014003 0.999856

# Image: frame_00141.jpg
0.999901 -0.009247 -0.010650
0.009401 0.999850 0.014525
0.010514 -0.014624 0.999838

# Image: frame_00142.jpg
0.999889 -0.008978 -0.011890
0.009165 0.999834 0.015761
0.011747 -0.015868 0.999805

# Image: frame_00143.jpg
0.999858 -0.008882 -0.014289
0.009130 0.999807 0.017400
0.014132 -0.017528 0.999746

# Image: frame_00144.jpg
0.999830 -0.008597 -0.016290
0.008907 0.999779 0.019061
0.016123 -0.019203 0.999686

# Image: frame_00138.jpg
0.999924 -0.009266 -0.008121
0.009367 0.999878 0.012524
0.008003 -0.012599 0.999889

# Image: frame_00149.jpg
0.999697 -0.007621 -0.023396
0.008215 0.999644 0.025387
0.023195 -0.025571 0.999404

# Image: frame_00147.jpg
0.999747 -0.008221 -0.020948
0.008733 0.999662 0.024481
0.020740 -0.024658 0.999481

# Image: frame_00145.jpg
0.999802 -0.008553 -0.017950
0.008922 0.999749 0.020570
0.017769 -0.020726 0.999627

# Image: frame_00152.jpg
0.999661 -0.007743 -0.024876
0.008557 0.999426 0.032793
0.024608 -0.032995 0.999153

# Image: frame_00148.jpg
0.999728 -0.007968 -0.021932
0.008550 0.999610 0.026587
0.021712 -0.026767 0.999406

# Image: frame_00153.jpg
0.999662 -0.007441 -0.024924
0.008311 0.999354 0.034974
0.024647 -0.035169 0.999077

# Image: frame_00154.jpg
0.999667 -0.007498 -0.024689
0.008392 0.999306 0.036301
0.024400 -0.036496 0.999036

# Image: frame_00150.jpg
0.999683 -0.007627 -0.024013
0.008289 0.999585 0.027587
0.023792 -0.027778 0.999331

# Image: frame_00146.jpg
0.999767 -0.007750 -0.020136
0.008161 0.999758 0.020427
0.019973 -0.020586 0.999589

# Image: frame_00157.jpg
0.999631 -0.007320 -0.026173
0.008350 0.999186 0.039476
0.025863 -0.039680 0.998878

# Image: frame_00156.jpg
0.999633 -0.007397 -0.026066
0.008381 0.999250 0.037816
0.025766 -0.038020 0.998945

# Image: frame_00151.jpg
0.999672 -0.007699 -0.024434
0.008415 0.999534 0.029344
0.024197 -0.029540 0.999271

# Image: frame_00158.jpg
0.999625 -0.007144 -0.026447
0.008222 0.999130 0.040892
0.026132 -0.041094 0.998814

# Image: frame_00155.jpg
0.999648 -0.007716 -0.025379
0.008656 0.999274 0.037108
0.025074 -0.037315 0.998989

# Image: frame_00160.jpg
0.999624 -0.007340 -0.026421
0.008490 0.999009 0.043702
0.026074 -0.043910 0.998695

# Image: frame_00161.jpg
0.999638 -0.006918 -0.026017
0.008080 0.998962 0.044837
0.025679 -0.045031 0.998655

# Image: frame_00159.jpg
0.999604 -0.007363 -0.027167
0.008496 0.999087 0.041857
0.026834 -0.042071 0.998754

# Image: frame_00163.jpg
0.999648 -0.006743 -0.025647
0.007951 0.998850 0.047277
0.025298 -0.047464 0.998553

# Image: frame_00165.jpg
0.999656 -0.006790 -0.025341
0.008038 0.998742 0.049496
0.024973 -0.049682 0.998453

# Image: frame_00164.jpg
0.999655 -0.006855 -0.025348
0.008075 0.998797 0.048361
0.024986 -0.048549 0.998508

# Image: frame_00167.jpg
0.999665 -0.006159 -0.025129
0.007442 0.998656 0.051298
0.024780 -0.051468 0.998367

# Image: frame_00166.jpg
0.999661 -0.006543 -0.025190
0.007805 0.998701 0.050358
0.024827 -0.050538 0.998414

# Image: frame_00162.jpg
0.999646 -0.006864 -0.025722
0.008050 0.998896 0.046279
0.025376 -0.046470 0.998597

# Image: frame_00169.jpg
0.999673 -0.005679 -0.024938
0.006982 0.998598 0.052472
0.024605 -0.052629 0.998311

# Image: frame_00168.jpg
0.999670 -0.006021 -0.024957
0.007313 0.998620 0.052006
0.024610 -0.052172 0.998335

# Image: frame_00170.jpg
0.999690 -0.005690 -0.024259
0.006988 0.998530 0.053754
0.023918 -0.053907 0.998259

# Image: frame_00172.jpg
0.999693 -0.004934 -0.024286
0.006259 0.998479 0.054781
0.023978 -0.054916 0.998203

# Image: frame_00173.jpg
0.999693 -0.004076 -0.024423
0.005401 0.998503 0.054426
0.024165 -0.054541 0.998219

# Image: frame_00178.jpg
0.999564 -0.001017 -0.029502
0.002462 0.998796 0.048988
0.029417 -0.049039 0.998364

# Image: frame_00175.jpg
0.999698 -0.003490 -0.024309
0.004815 0.998494 0.054655
0.024081 -0.054755 0.998209

# Image: frame_00179.jpg
0.999529 -0.000254 -0.030693
0.001700 0.998889 0.047095
0.030647 -0.047125 0.998419

# Image: frame_00180.jpg
0.999547 0.000117 -0.030109
0.001292 0.998905 0.046770
0.030082 -0.046787 0.998452

# Image: frame_00177.jpg
0.999651 -0.001837 -0.026343
0.003188 0.998676 0.051340
0.026214 -0.051406 0.998334

# Image: frame_00171.jpg
0.999686 -0.005396 -0.024476
0.006707 0.998530 0.053790
0.024149 -0.053937 0.998252

# Image: frame_00176.jpg
0.999692 -0.002790 -0.024660
0.004115 0.998541 0.053847
0.024474 -0.053932 0.998245

# Image: frame_00174.jpg
0.999698 -0.004114 -0.024215
0.005433 0.998490 0.054662
0.023953 -0.054778 0.998211

# Image: frame_00181.jpg
0.999464 0.002681 -0.032631
-0.001328 0.999141 0.041408
0.032714 -0.041343 0.998609

# Image: frame_00184.jpg
0.999482 0.004514 -0.031851
-0.003269 0.999232 0.039037
0.032003 -0.038913 0.998730

# Image: frame_00182.jpg
0.999525 0.001779 -0.030775
-0.000357 0.998934 0.046152
0.030824 -0.046119 0.998460

# Image: frame_00183.jpg
0.999475 0.004142 -0.032124
-0.002865 0.999207 0.039713
0.032263 -0.039600 0.998695

# Image: frame_00186.jpg
0.999494 0.005150 -0.031403
-0.003953 0.999267 0.038075
0.031576 -0.037931 0.998781

# Image: frame_00187.jpg
0.999492 0.005641 -0.031357
-0.004480 0.999306 0.036981
0.031543 -0.036822 0.998824

# Image: frame_00188.jpg
0.999502 0.006031 -0.030972
-0.004905 0.999329 0.036293
0.031170 -0.036123 0.998861

# Image: frame_00189.jpg
0.999498 0.006360 -0.031044
-0.005265 0.999364 0.035256
0.031249 -0.035074 0.998896

# Image: frame_00190.jpg
0.999499 0.006693 -0.030923
-0.005625 0.999388 0.034516
0.031135 -0.034325 0.998926

# Image: frame_00191.jpg
0.999503 0.007242 -0.030686
-0.006226 0.999434 0.033066
0.030908 -0.032859 0.998982

# Image: frame_00185.jpg
0.999487 0.004825 -0.031673
-0.003590 0.999236 0.038927
0.031836 -0.038793 0.998740

# Image: frame_00192.jpg
0.999517 0.006880 -0.030298
-0.005927 0.999488 0.031440
0.030499 -0.031246 0.999046

# Image: frame_00194.jpg
0.999563 0.007020 -0.028705
-0.006161 0.999533 0.029914
0.028902 -0.029724 0.999140

# Image: frame_00195.jpg
0.999606 0.006995 -0.027184
-0.006208 0.999562 0.028932
0.027375 -0.028752 0.999212

# Image: frame_00197.jpg
0.999669 0.006972 -0.024745
-0.006324 0.999638 0.026152
0.024919 -0.025987 0.999352

# Image: frame_00193.jpg
0.999535 0.007034 -0.029683
-0.006125 0.999513 0.030589
0.029883 -0.030393 0.999091

# Image: frame_00196.jpg
0.999638 0.006813 -0.026012
-0.006091 0.999597 0.027725
0.026190 -0.027557 0.999277

# Image: frame_00198.jpg
0.999687 0.006581 -0.024150
-0.006017 0.999710 0.023338
0.024297 -0.023185 0.999436

# Image: frame_00200.jpg
0.999712 0.006621 -0.023070
-0.006238 0.999842 0.016625
0.023177 -0.016477 0.999596

# Image: frame_00199.jpg
0.999713 0.006506 -0.023040
-0.006042 0.999779 0.020156
0.023167 -0.020011 0.999531

# Image: frame_00201.jpg
0.999681 0.006949 -0.024284
-0.006643 0.999898 0.012652
0.024370 -0.012487 0.999625

# Image: frame_00202.jpg
0.999667 0.006879 -0.024871
-0.006658 0.999938 0.008953
0.024931 -0.008784 0.999651

# Image: frame_00206.jpg
0.999683 0.006936 -0.024202
-0.007037 0.999967 -0.004072
0.024173 0.004241 0.999699

# Image: frame_00205.jpg
0.999677 0.006713 -0.024493
-0.006720 0.999977 -0.000203
0.024491 0.000367 0.999700

# Image: frame_00207.jpg
0.999685 0.006568 -0.024209
-0.006730 0.999955 -0.006613
0.024164 0.006774 0.999685

# Image: frame_00203.jpg
0.999674 0.006549 -0.024676
-0.006413 0.999964 0.005622
0.024712 -0.005462 0.999680

# Image: frame_00204.jpg
0.999671 0.006821 -0.024739
-0.006755 0.999973 0.002775
0.024757 -0.002607 0.999690

# Image: frame_00208.jpg
0.999687 0.006758 -0.024104
-0.006988 0.999931 -0.009455
0.024039 0.009620 0.999665

# Image: frame_00210.jpg
0.999652 0.005892 -0.025705
-0.006295 0.999858 -0.015601
0.025610 0.015758 0.999548

# Image: frame_00209.jpg
0.999686 0.006328 -0.024262
-0.006639 0.999897 -0.012750
0.024178 0.012907 0.999624

